File BR50042, IAD, Is already downloaded: Skipping
File BR50158, no, Link 1 Error: 3: Not a PDF: Deleting, Link 2 Error: 3: Not a PDF: Deleting
File BR50159, YES, Downloaded without issue through link1
File BR50160, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50161, YES, Downloaded without issue through link1
File BR50162, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50163, no, Link 1 Error: 3: Not a PDF: Deleting, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50164, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50165, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50166, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50167, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50168, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50169, YES, Downloaded without issue through link1
File BR50170, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50171, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 400: Bad Request
File BR50172, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50173, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50174, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50175, YES, Downloaded without issue through link1
File BR50176, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
